"","geometry"
"669",c(-1.4502, -81.1238)
"670",c(-1.1598, -81.2439)
"671",c(-1.4824, -81.137)
"672",c(-0.6657, -80.7901)
"673",c(-0.9162, -81.0412)
"674",c(-1.2642, -81.0842)
"675",c(-3.4402, -81.1732)
"676",c(-2.7772, -81.1445)
"677",c(-2.8013, -81.119)
"678",c(-1.7949, -81.592)
"679",c(-2.8886, -81.3154)
"680",c(-1.7778, -81.8088)
"681",c(-1.7809, -81.4813)
"682",c(-0.5493, -82.4555)
"683",c(-0.3395, -82.2799)
"684",c(-1.4323, -81.37)
"685",c(-1.6211, -81.4474)
"686",c(-3.964, -81.3267)
"687",c(-3.961, -81.3581)
"688",c(-2.5057, -81.305)
"689",c(-3.0607, -81.1949)
"690",c(-3.8778, -81.5)
"691",c(-2.0504, -81.0722)
"692",c(-2.528, -81.1371)
"693",c(-2.521, -81.2787)
"694",c(-0.2555, -82.2938)
"695",c(-0.5525, -81.8574)
"696",c(-3.8486, -80.8382)
"697",c(-1.8523, -81.2289)
"698",c(-1.69, -81.1273)
"699",c(-2.1811, -81.0969)
"700",c(-3.7413, -80.8408)
"701",c(-2.1106, -81.2728)
"702",c(-2.0386, -81.0755)
"703",c(-1.2636, -81.0694)
"704",c(-1.2546, -81.0709)
"705",c(-3.6845, -80.7973)
"706",c(-3.6483, -80.7404)
"707",c(-3.5697, -80.7052)
"708",c(-3.6018, -80.7327)
"709",c(-3.591, -80.7085)
"710",c(-3.4092, -80.5808)
"711",c(-3.4121, -80.5672)
"712",c(-3.5399, -80.6827)
"713",c(-3.4283, -80.5923)
"714",c(-0.435, -80.5411)
"715",c(-0.4559, -80.4662)
"716",c(-0.4354, -80.4869)
"717",c(-1.2547, -81.0912)
"718",c(-1.2613, -81.0802)
"719",c(-1.2438, -81.0508)
"720",c(-1.2727, -81.0585)
"721",c(-1.2497, -81.0565)
"722",c(-1.8003, -81.1429)
"723",c(-0.4404, -80.7019)
"724",c(-3.9139, -80.9514)
"725",c(-3.9393, -81.3196)
"726",c(-3.9209, -81.5089)
"727",c(-3.7969, -80.9103)
"728",c(-3.8579, -80.9686)
"729",c(-3.8174, -80.9205)
