"","latitude","longitde","value_per_area","units_1"
"431",-17.267,110,"       4800.000","mg/m2"
"432",-19.367,109.9,"       6600.000","mg/m2"
"433",-19.367,109.9,"       8000.000","mg/m2"
"434",-21.617,110,"         10600.","mg/m2"
"435",-21.617,110,"       7200.000","mg/m2"
"436",-23.183,109.983,"         17000.","mg/m2"
"437",-25.483,110.033,"       5600.000","mg/m2"
"438",-25.483,110.033,"       8000.000","mg/m2"
"439",-27.45,110,"       6200.000","mg/m2"
"440",-27.45,110,"       6800.000","mg/m2"
"441",-29.367,110.067,"         11200.","mg/m2"
"442",-29.367,110.067,"       4400.000","mg/m2"
"443",-31,110.083,"       7800.000","mg/m2"
"444",-31,110.083,"       6200.000","mg/m2"
"445",-32.033,111.75,"       1800.000","mg/m2"
"446",-17.975,117.133,"         21000.","mg/m2"
"447",-16.8,116.717,"         21200.","mg/m2"
"448",-15.3,116.133,"         20000.","mg/m2"
"449",-13.483,115.383,"         21600.","mg/m2"
"450",-10.85,119.23,"         13600.","mg/m2"
"451",-12.483,119.583,"         16600.","mg/m2"
"452",-14.325,120.55,"         12800.","mg/m2"
"453",-5.95,130.883,"         14600.","mg/m2"
"454",-7.317,127.192,"         17200.","mg/m2"
"455",-7.75,120.327,"         15400.","mg/m2"
"456",-7.95,117.133,"         24400.","mg/m2"
"457",-8.913,104.883,"         23400.","mg/m2"
"458",-8.897,108.2,"         35200.","mg/m2"
"459",-10.217,108.767,"         19800.","mg/m2"
"460",-12.167,109.833,"         27200.","mg/m2"
"461",-13.683,110.733,"         30000.","mg/m2"
"462",-17.417,112.583,"         19400.","mg/m2"
"463",-15.533,111.667,"         14800.","mg/m2"
"464",-19.183,113.567,"         14200.","mg/m2"
"465",-20,114.08,"         10800.","mg/m2"
"466",-31.9,112,"         10400.","mg/m2"
"467",-25,100,"       4400.000","mg/m2"
"468",-22,100,"       2000.000","mg/m2"
"469",-18.883,100,"       2000.000","mg/m2"
"470",-18.883,100,"       3200.000","mg/m2"
"471",-18,100,"       7200.000","mg/m2"
"472",-18,100,"       7400.000","mg/m2"
"473",-6,100,"       2200.000","mg/m2"
"474",-6,100,"       2200.000","mg/m2"
"475",-10.917,94.983,"       1400.000","mg/m2"
"476",-10.917,94.983,"       1800.000","mg/m2"
"477",-8.5,95,"       3400.000","mg/m2"
"478",-8.5,95,"       4000.000","mg/m2"
"479",-7.25,95,"       2800.000","mg/m2"
"480",-7.25,95,"       3600.000","mg/m2"
"481",-4.75,95,"       2800.000","mg/m2"
"482",-4.75,95,"       2400.000","mg/m2"
"483",-7.683,105.017,"       7400.000","mg/m2"
"484",-7.683,105.017,"       7000.000","mg/m2"
"485",-9,104.967,"         12800.","mg/m2"
"486",-9,104.967,"         11400.","mg/m2"
"487",-10.25,104.833,"         10400.","mg/m2"
"488",-10.25,104.833,"       9600.000","mg/m2"
"489",-11.65,105,"         10800.","mg/m2"
"490",-11.65,105,"         10400.","mg/m2"
